,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Diogo Dalot,ptPOR,DF,Manchester Utd,25-331,1999,22.6,1456,88,491,591,386,43,1456,31,14,45.2,15,48.4,807,3552,1921,41,31,10,27,10,870,110,Matches
Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-224,2000,19.9,1165,27,221,533,429,42,1165,65,33,50.8,24,36.9,675,3847,1945,46,33,5,37,33,769,79,Matches
Danilo,brBRA,MF,Nott'ham Forest,23-289,2001,0.9,43,3,17,25,1,0,43,4,1,25.0,3,75.0,15,73,15,0,0,0,3,0,24,0,Matches
Jayden Danns,engENG,MF,Liverpool,19-027,2006,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches
Ben Davies,wlsWAL,DF,Tottenham,31-294,1993,6.0,502,87,270,212,20,3,502,0,0,,0,,285,1481,893,5,5,0,1,0,342,4,Matches
Leif Davis,engENG,DF,Ipswich Town,25-031,2000,23.5,1190,98,431,381,395,35,1190,34,11,32.4,17,50.0,535,2919,1563,39,21,10,31,10,617,99,Matches
Craig Dawson,engENG,DF,Wolves,34-282,1990,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5,Matches
Kevin De Bruyne,beBEL,MF,Manchester City,33-229,1991,11.2,874,9,51,295,534,50,874,21,9,42.9,10,47.6,497,2481,1340,35,34,14,16,20,662,99,Matches
Liam Delap,engENG,FW,Ipswich Town,22-004,2003,19.6,431,20,49,180,213,60,429,58,26,44.8,26,44.8,287,2240,1067,41,31,19,72,45,343,74,Matches
Sepp van den Berg,nlNED,DF,Brentford,23-054,2001,18.9,1050,191,528,398,126,28,1050,7,4,57.1,3,42.9,445,2050,1000,6,9,0,11,4,588,23,Matches
Justin Devenny,nirNIR,MF,Crystal Palace,21-124,2003,3.0,152,4,30,72,53,4,152,2,1,50.0,1,50.0,68,376,182,3,4,1,7,2,89,7,Matches
Kiernan Dewsbury-Hall,engENG,MF,Chelsea,26-159,1998,1.5,99,2,17,50,32,5,99,3,1,33.3,2,66.7,53,281,130,3,0,0,1,3,77,7,Matches
Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-216,2002,17.7,1012,13,150,374,504,109,1012,72,36,50.0,32,44.4,656,4482,2294,92,46,52,35,32,714,159,Matches
Rúben Dias,ptPOR,DF,Manchester City,27-274,1997,13.1,1313,121,425,686,204,15,1313,1,0,0.0,1,100.0,920,5230,3094,19,38,1,3,1,1068,5,Matches
Luis Díaz,coCOL,FW,Liverpool,28-030,1997,15.9,697,10,52,254,405,98,697,72,29,40.3,34,47.2,452,3343,1691,61,33,32,34,31,547,147,Matches
Tyler Dibling,engENG,"FW,MF",Southampton,18-337,2006,13.7,573,15,65,261,260,31,573,76,28,36.8,31,40.8,376,3174,1655,51,38,20,31,35,436,70,Matches
Lucas Digne,frFRA,DF,Aston Villa,31-207,1993,19.7,1213,76,422,364,437,24,1213,17,9,52.9,7,41.2,559,2547,1162,19,12,3,13,12,663,116,Matches
Issa Diop,frFRA,DF,Fulham,28-034,1997,11.9,735,107,400,318,18,11,735,1,1,100.0,0,0.0,441,2002,1020,4,2,0,7,1,509,1,Matches
Axel Disasi,frFRA,DF,Chelsea,26-338,1998,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2,Matches
Roman Dixon,engENG,DF,Everton,20-048,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches
Matt Doherty,ieIRL,DF,Wolves,33-027,1992,12.9,833,68,320,386,135,21,833,10,6,60.0,3,30.0,419,1876,1023,16,9,3,9,3,511,31,Matches
Jeremy Doku,beBEL,"FW,MF",Manchester City,22-261,2002,8.8,536,3,28,115,404,77,536,89,45,50.6,27,30.3,403,3701,2353,104,48,48,30,30,440,147,Matches
Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-229,1998,12.5,733,40,177,379,182,16,733,5,1,20.0,3,60.0,291,1076,490,9,7,2,11,8,413,16,Matches
Alfie Dorrington,engENG,DF,Tottenham,19-298,2005,0.2,16,0,11,5,0,0,16,0,0,,0,,12,61,26,0,0,0,0,0,13,0,Matches
